REPORT DATE,Regione,Ricoverati con sintomi,Terapia intensiva,Totale attualmente positivi,DECEDUTI,Isolamento domiciliare,CASI TOTALI - A,Totale tamponi effettuati,SCHEMA VERSION
2020-06-07,Trento,6,1,82,464,75,4435,95638,v5
2020-06-07,Campania,86,6,725,426,633,4826,217898,v5
2020-06-07,Valle d'Aosta,6,0,9,144,3,1191,15905,v5
2020-06-07,Sardegna,10,1,59,131,48,1362,63172,v5
2020-06-07,Umbria,10,2,29,76,17,1432,76179,v5
2020-06-07,Calabria,18,0,91,97,73,1159,76142,v5
2020-06-07,Abruzzo,88,4,653,418,561,3265,83020,v5
2020-06-07,Friuli VG,22,4,151,339,125,3283,147673,v5
2020-06-07,Sicilia,42,7,862,277,813,3451,164985,v5
2020-06-07,Molise,0,2,120,23,118,436,16791,v5
2020-06-07,Bolzano,7,2,97,292,88,2603,71755,v5
2020-06-08,Basilicata,0,0,13,27,13,399,32720,v5
2020-06-08,Puglia,94,4,698,525,600,4512,133164,v5
2020-06-08,Piemonte,633,36,3866,3954,3197,30869,344924,v5
2020-06-08,Lazio,466,49,2615,763,2100,7828,275885,v5
2020-06-08,Veneto,82,1,1080,1955,997,19187,750248,v5
2020-06-08,Toscana,50,20,721,1074,651,10144,273706,v5
2020-06-08,Liguria,125,5,248,1505,118,9826,117410,v5
2020-06-08,Marche,41,2,1075,991,1032,6747,114310,v5
2020-06-08,Emilia Romagna,239,31,2282,4179,2012,27928,360962,v5
2020-06-08,Campania,82,6,717,426,629,4828,219033,v5
2020-06-08,Trento,7,1,81,464,73,4436,95825,v5
2020-06-08,Calabria,18,0,77,97,59,1159,76501,v5
2020-06-08,Valle d'Aosta,7,0,8,144,1,1191,15910,v5
2020-06-08,Sardegna,9,1,56,131,46,1362,63510,v5
2020-06-08,Umbria,10,2,29,76,17,1432,76413,v5
2020-06-08,Lombardia,2708,107,19319,16302,16504,90389,826465,v5
2020-06-08,Abruzzo,89,4,632,418,539,3265,83715,v5
2020-06-08,Friuli VG,22,3,144,340,119,3284,148030,v5
2020-06-08,Sicilia,40,7,853,278,806,3452,165693,v5
2020-06-08,Molise,0,2,119,23,117,436,16966,v5
2020-06-08,Bolzano,7,2,97,292,88,2604,72257,v5
2020-06-09,Lazio,462,47,2570,766,2061,7851,279572,v5
2020-06-09,Basilicata,1,0,14,27,13,400,33185,v5
2020-06-09,Puglia,76,5,613,526,532,4512,135625,v5
2020-06-09,Piemonte,599,39,3671,3961,3033,30890,348770,v5
2020-06-09,Emilia Romagna,226,31,2156,4185,1899,27946,367485,v5
2020-06-09,Veneto,77,0,1004,1961,927,19191,762098,v5
2020-06-09,Toscana,46,17,628,1077,565,10145,277092,v5
2020-06-09,Liguria,119,5,249,1509,125,9834,118891,v5
2020-06-09,Marche,32,0,992,992,960,6747,115510,v5
2020-06-09,Trento,6,1,81,464,74,4439,96527,v5
2020-06-09,Calabria,18,0,68,97,50,1159,77216,v5
2020-06-09,Molise,0,2,120,23,118,438,17162,v5
2020-06-09,Sicilia,39,6,853,278,808,3454,168562,v5
2020-06-09,Friuli VG,21,2,128,340,105,3284,148889,v5
2020-06-09,Abruzzo,91,4,567,451,472,3266,84700,v5
2020-06-09,Bolzano,7,2,95,292,86,2604,72652,v5
2020-06-09,Umbria,12,2,29,76,15,1435,77427,v5
2020-06-09,Sardegna,9,1,54,131,44,1361,64272,v5
2020-06-09,Valle d'Aosta,7,0,8,144,1,1191,16040,v5
2020-06-09,Campania,73,3,675,426,599,4833,220662,v5
2020-06-09,Lombardia,2660,96,18297,16317,15541,90581,836313,v5
2020-06-10,Liguria,110,3,245,1513,132,9854,121023,v5
2020-06-10,Toscana,40,15,539,1078,484,10148,280491,v5
2020-06-10,Veneto,66,0,965,1961,899,19194,773316,v5
2020-06-10,Lazio,368,47,2566,770,2151,7869,283630,v5
2020-06-10,Piemonte,564,35,3372,3976,2773,30916,353737,v5
2020-06-10,Puglia,71,4,557,529,482,4512,138377,v5
2020-06-10,Basilicata,1,0,11,27,10,400,33551,v5
2020-06-10,Emilia Romagna,228,25,2061,4192,1808,27970,375278,v5
2020-06-10,Marche,29,0,947,992,918,6750,116320,v5
2020-06-10,Trento,6,1,80,464,73,4439,97739,v5
2020-06-10,Lombardia,2565,98,17857,16349,15194,90680,845618,v5
2020-06-10,Valle d'Aosta,3,0,6,144,3,1191,16141,v5
2020-06-10,Sardegna,9,1,50,131,40,1361,65175,v5
2020-06-10,Umbria,13,2,28,76,13,1436,78366,v5
2020-06-10,Bolzano,7,2,94,292,85,2604,73404,v5
2020-06-10,Calabria,18,0,54,97,36,1159,78174,v5
2020-06-10,Friuli VG,25,1,113,341,87,3286,152866,v5
2020-06-10,Sicilia,40,6,853,278,807,3455,171384,v5
2020-06-10,Molise,0,2,120,23,118,439,17375,v5
2020-06-10,Abruzzo,83,5,550,453,462,3266,86082,v5
2020-06-10,Campania,74,2,642,428,566,4834,223302,v5
2020-06-11,Marche,26,0,902,992,876,6751,117720,v5
2020-06-11,Basilicata,0,1,12,27,11,401,33957,v5
2020-06-11,Puglia,65,3,467,530,399,4513,141322,v5
2020-06-11,Piemonte,544,33,3183,3988,2606,30958,357957,v5
