Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI/GUARITI,DECEDUTI,CASI TOTALI - A,INCREMENTO CASI TOTALI (rispetto al giorno precedente),Casi identificatidal sospettodiagnostico,Casi identificatida attività discreening,CASI TOTALI - B,Totale casi testati,Totale tamponi effettuati,INCREMENTOTAMPONI,REPORT DATE
Lombardia,1521,134,28235,29890,87591,17123,134604,4125,113622,20982,134604,1611623,2575003,36416,2020-10-21
Piemonte,1111,74,12250,13435,30467,4216,48118,1799,26093,22025,48118,529281,895399,13611,2020-10-21
Emilia-Romagna,596,86,10118,10800,27257,4531,42588,671,34999,7589,42588,777142,1417038,17165,2020-10-21
Veneto,439,56,10938,11433,24550,2282,38265,1422,23338,14927,38265,849385,2178114,19627,2020-10-21
Campania,996,85,20020,21101,8838,545,30484,1760,28264,2220,30484,548083,802965,13878,2020-10-21
Lazio,1226,129,16048,17403,9913,1054,28370,1219,11598,16772,28370,984926,1205529,20505,2020-10-21
Toscana,503,76,11660,12239,12006,1221,25466,866,20011,5455,25466,639007,950782,11629,2020-10-21
Liguria,547,31,4043,4621,13614,1656,19891,546,13925,5966,19891,204834,389326,4950,2020-10-21
Sicilia,565,83,7202,7850,5551,389,13790,562,8879,4911,13790,437540,614264,7412,2020-10-21
Puglia,438,42,5511,5991,5690,644,12325,324,3322,9003,12325,355311,502331,5300,2020-10-21
Marche,115,19,2243,2377,6497,997,9871,226,9871,0,9871,169343,289086,2540,2020-10-21
PA Trento,48,2,798,848,5898,420,7166,148,4110,3056,7166,109666,266366,2760,2020-10-21
Friuli Venezia Giulia,76,16,2014,2106,4382,367,6855,219,6306,549,6855,212729,486925,4627,2020-10-21
Abruzzo,212,14,2865,3091,3195,500,6786,252,5397,1389,6786,158874,253175,3123,2020-10-21
Sardegna,236,36,3539,3811,2652,180,6643,167,2714,3929,6643,199392,235250,2223,2020-10-21
Umbria,152,20,2783,2955,2403,95,5453,350,2183,3270,5453,154074,262392,3691,2020-10-21
PA Bolzano,96,7,1977,2080,2926,296,5302,189,5302,0,5302,108212,208717,1884,2020-10-21
Calabria,81,6,1293,1380,1614,105,3099,136,1159,1940,3099,243043,245158,2458,2020-10-21
Valle d'Aosta,42,5,784,831,1155,146,2132,111,1913,219,2132,23483,35990,1555,2020-10-21
Basilicata,48,4,723,775,584,39,1398,85,453,945,1398,90497,91337,1201,2020-10-21
Molise,9,1,415,425,591,26,1042,22,996,46,1042,53291,56882,1293,2020-10-21
Lombardia,1268,123,24913,26304,87072,17103,130479,2023,110712,19767,130479,1588800,2538587,21726,2020-10-20
Piemonte,1037,62,10783,11882,30228,4209,46319,1396,25539,20780,46319,519289,881788,13018,2020-10-20
Emilia-Romagna,531,78,9559,10168,27226,4523,41917,507,34633,7284,41917,769327,1399873,16549,2020-10-20
Veneto,459,51,9746,10256,24319,2268,36843,490,22987,13856,36843,841548,2158487,8126,2020-10-20
Campania,946,91,18421,19458,8732,534,28724,1312,26534,2190,28724,538297,789087,10205,2020-10-20
Lazio,1196,123,15014,16333,9780,1038,27151,1224,11206,15945,27151,969373,1185024,21117,2020-10-20
Toscana,475,72,10999,11546,11846,1208,24600,812,19332,5268,24600,631648,939153,11351,2020-10-20
Liguria,505,32,3947,4484,13214,1647,19345,907,13628,5717,19345,202738,384376,6062,2020-10-20
Sicilia,542,77,6878,7497,5353,378,13228,574,8485,4743,13228,434040,606852,8131,2020-10-20
Puglia,432,39,5259,5730,5629,642,12001,295,3240,8761,12001,350691,497031,5827,2020-10-20
Marche,99,19,2064,2182,6467,996,9645,89,9645,0,9645,167857,286546,1882,2020-10-20
PA Trento,45,1,718,764,5836,418,7018,94,4039,2979,7018,108619,263606,854,2020-10-20
Friuli Venezia Giulia,65,14,1853,1932,4338,366,6636,131,6115,521,6636,211397,482298,3915,2020-10-20
Abruzzo,210,15,2620,2845,3194,495,6534,184,5319,1215,6534,156991,250052,3115,2020-10-20
Sardegna,226,34,3426,3686,2613,177,6476,221,2674,3802,6476,197486,233027,2016,2020-10-20
PA Bolzano,96,7,1791,1894,2924,295,5113,209,5113,0,5113,107299,206833,1819,2020-10-20
Umbria,150,20,2505,2675,2335,93,5103,194,2133,2970,5103,152168,258701,4371,2020-10-20
Calabria,73,6,1173,1252,1607,104,2963,94,1159,1804,2963,240594,242700,2477,2020-10-20
Valle d'Aosta,36,5,684,725,1150,146,2021,75,1813,208,2021,23263,34435,583,2020-10-20
Basilicata,51,1,661,713,561,39,1313,17,453,860,1313,89296,90136,1115,2020-10-20
Molise,12,0,401,413,581,26,1020,26,975,45,1020,52527,55589,478,2020-10-20
Lombardia,1136,113,23385,24634,86738,17084,128456,1687,109408,19048,128456,1575120,2516861,14577,2020-10-19
Piemonte,883,61,9663,10607,30113,4203,44923,933,26243,18680,44923,511428,868770,9564,2020-10-19
Emilia-Romagna,481,70,9119,9670,27222,4518,41410,552,34342,7068,41410,763923,1383324,8026,2020-10-19
Veneto,396,44,9405,9845,24253,2255,36353,502,22902,13451,36353,838391,2150361,4426,2020-10-19
Campania,884,85,17345,18314,8576,522,27412,1593,25252,2160,27412,529648,778882,12695,2020-10-19
Lazio,1130,111,13950,15191,9703,1033,25927,939,11105,14822,25927,954419,1163907,17573,2020-10-19
Toscana,449,62,10340,10851,11731,1206,23788,986,18734,5054,23788,624289,927802,10557,2020-10-19
Liguria,436,34,3441,3911,12886,1641,18438,323,12884,5554,18438,199539,378314,1871,2020-10-19
Sicilia,521,72,6426,7019,5267,368,12654,362,8095,4559,12654,428508,598721,3252,2020-10-19
Puglia,397,38,5028,5463,5604,639,11706,321,3144,8562,11706,346220,491204,2446,2020-10-19
Marche,97,16,2005,2118,6443,995,9556,98,9556,0,9556,166944,284664,1217,2020-10-19
PA Trento,44,0,819,863,5643,418,6924,79,4007,2917,6924,108329,262752,1518,2020-10-19
Friuli Venezia Giulia,62,13,2093,2168,3973,364,6505,90,6017,488,6505,210178,478383,1281,2020-10-19
Abruzzo,197,13,2459,2669,3190,494,6353,159,5282,1071,6353,155193,246937,2176,2020-10-19
Sardegna,210,33,3259,3502,2579,174,6255,159,2600,3655,6255,195681,231011,2306,2020-10-19
Umbria,131,15,2423,2569,2247,93,4909,167,2099,2810,4909,150026,254330,1028,2020-10-19
PA Bolzano,67,7,1616,1690,2920,294,4904,85,4904,0,4904,106284,205014,1279,2020-10-19
Calabria,66,5,1099,1170,1595,104,2869,108,1159,1710,2869,238117,240223,1476,2020-10-19
Valle d'Aosta,26,4,628,658,1142,146,1946,135,1746,200,1946,23091,33852,453,2020-10-19
Basilicata,51,1,646,698,559,39,1296,22,453,843,1296,88191,89021,397,2020-10-19
Molise,12,0,381,393,575,26,994,38,949,45,994,52049,55111,744,2020-10-19
Lombardia,1065,110,22119,23294,86397,17078,126769,2975,108092,18677,126769,1565233,2502284,30981,2020-10-18
Piemonte,780,55,8998,9833,29959,4198,43990,1123,25943,18047,43990,505300,859206,9721,2020-10-18
Emilia-Romagna,439,67,8657,9163,27181,4515,40859,526,34047,6812,40859,760075,1375298,9189,2020-10-18
Veneto,378,44,9003,9425,24170,2256,35851,800,22849,13002,35851,836440,2145935,10285,2020-10-18
Campania,849,78,15938,16865,8453,501,25819,1376,23716,2103,25819,519783,766187,14256,2020-10-18
Lazio,1085,99,13196,14380,9584,1024,24988,1198,10930,14058,24988,941774,1146334,23010,2020-10-18
Toscana,385,55,9546,9986,11622,1194,22802,906,17869,4933,22802,617111,917245,13380,2020-10-18
Liguria,402,39,3318,3759,12720,1636,18115,370,12740,5375,18115,198617,376443,3328,2020-10-18
Sicilia,493,70,6227,6790,5137,365,12292,548,7835,4457,12292,426503,595469,6390,2020-10-18
Puglia,377,36,4820,5233,5517,635,11385,301,3113,8272,11385,344122,488758,4633,2020-10-18
Marche,88,13,1944,2045,6418,995,9458,204,9458,0,9458,166250,283447,2542,2020-10-18
PA Trento,38,0,763,801,5627,417,6845,48,3983,2862,6845,108040,261234,830,2020-10-18
Friuli Venezia Giulia,56,14,2011,2081,3973,361,6415,155,5927,488,6415,209531,477102,2295,2020-10-18
Abruzzo,170,13,2330,2513,3187,494,6194,221,5175,1019,6194,153850,244761,3715,2020-10-18
Sardegna,208,29,3159,3396,2526,174,6096,230,2557,3539,6096,193627,228705,1911,2020-10-18
PA Bolzano,67,7,1533,1607,2919,293,4819,171,4819,0,4819,105500,203735,1979,2020-10-18
Umbria,115,14,2302,2431,2219,92,4742,327,2062,2680,4742,149410,253302,3412,2020-10-18
Calabria,61,5,1006,1072,1585,104,2761,78,1159,1602,2761,236641,238747,2359,2020-10-18
Valle d'Aosta,20,2,506,528,1137,146,1811,73,1631,180,1811,22840,33399,360,2020-10-18
Basilicata,43,0,637,680,555,39,1274,48,444,830,1274,87784,88624,950,2020-10-18
Molise,12,0,343,355,575,26,956,27,911,45,956,51313,54367,1015,2020-10-18
Lombardia,943,96,20586,21625,85112,17057,123794,2664,106066,17728,123794,1544959,2471303,29053,2020-10-17
Piemonte,701,51,8128,8880,29791,4196,42867,972,25648,17219,42867,498420,849485,11066,2020-10-17
Emilia-Romagna,427,65,8157,8649,27175,4509,40333,641,33741,6592,40333,754101,1366109,13313,2020-10-17
Veneto,328,43,8369,8740,24064,2247,35051,774,22758,12293,35051,832701,2135650,14156,2020-10-17
Campania,817,75,14798,15690,8254,499,24443,1410,22363,2080,24443,509918,751931,14704,2020-10-17
Lazio,1043,98,12096,13237,9535,1018,23790,994,10392,13398,23790,924313,1123324,27748,2020-10-17
Toscana,344,50,8853,9247,11460,1189,21896,879,17020,4876,21896,608130,903865,13548,2020-10-17
Liguria,364,38,3156,3558,12554,1633,17745,464,12399,5346,17745,197088,373115,5173,2020-10-17
Sicilia,479,61,5741,6281,5101,362,11744,475,7493,4251,11744,422068,589079,5739,2020-10-17
Puglia,368,33,4579,4980,5472,632,11084,350,3035,8049,11084,342024,484125,5382,2020-10-17
Marche,77,10,1775,1862,6400,992,9254,121,9254,0,9254,164588,280905,2194,2020-10-17
PA Trento,27,0,744,771,5609,417,6797,82,3956,2841,6797,107750,260404,2593,2020-10-17
Friuli Venezia Giulia,49,13,1877,1939,3962,359,6260,167,5782,478,6260,208471,474807,4340,2020-10-17
Abruzzo,169,13,2112,2294,3186,493,5973,148,4950,1023,5973,151830,241046,3103,2020-10-17
Sardegna,192,30,2966,3188,2506,172,5866,130,2440,3426,5866,191734,226794,2995,2020-10-17
PA Bolzano,66,6,1372,1444,2911,293,4648,155,4648,0,4648,104499,201756,1714,2020-10-17
Umbria,99,16,2015,2130,2193,92,4415,205,1985,2430,4415,147587,249890,3525,2020-10-17
Calabria,58,5,931,994,1585,104,2683,94,1159,1524,2683,234284,236388,2995,2020-10-17
Valle d'Aosta,17,2,439,458,1134,146,1738,78,1569,169,1738,22585,33039,421,2020-10-17
Basilicata,40,0,598,638,550,38,1226,57,441,785,1226,86834,87674,1123,2020-10-17
Molise,9,0,321,330,573,26,929,65,884,45,929,50306,53352,952,2020-10-17
Lombardia,834,71,18223,19128,84958,17044,121130,2419,104276,16854,121130,1527182,2442250,30587,2020-10-16
Piemonte,658,43,7357,8058,29643,4194,41895,821,25387,16508,41895,493847,838419,9707,2020-10-16
Emilia-Romagna,404,61,7568,8033,27155,4504,39692,544,33382,6310,39692,748337,1352796,13563,2020-10-16
Veneto,299,40,7799,8138,23895,2244,34277,704,22660,11617,34277,828067,2121494,7368,2020-10-16
Campania,786,67,13501,14354,8180,499,23033,1261,20983,2050,23033,498492,737227,14222,2020-10-16
Lazio,1004,98,11215,12317,9473,1006,22796,795,10030,12766,22796,901184,1095576,19438,2020-10-16
Toscana,308,51,8156,8515,11315,1187,21017,755,16194,4823,21017,598910,890317,11500,2020-10-16
Liguria,347,32,2862,3241,12408,1632,17281,585,11989,5292,17281,194933,367942,4980,2020-10-16
Sicilia,471,58,5405,5934,4975,360,11269,578,7238,4031,11269,416980,583340,7709,2020-10-16
Puglia,326,26,4321,4673,5431,630,10734,313,3007,7727,10734,338385,478743,5582,2020-10-16
Marche,73,10,1671,1754,6387,992,9133,115,9133,0,9133,163367,278711,2198,2020-10-16
PA Trento,20,0,705,725,5574,416,6715,111,3931,2784,6715,107156,257811,2376,2020-10-16
Friuli Venezia Giulia,45,12,1742,1799,3935,359,6093,165,5622,471,6093,206998,470467,5327,2020-10-16
Abruzzo,167,11,1972,2150,3184,491,5825,178,4828,997,5825,150236,237943,3668,2020-10-16
Sardegna,187,29,2879,3095,2470,171,5736,133,2403,3333,5736,189006,223799,2450,2020-10-16
PA Bolzano,66,6,1231,1303,2897,293,4493,128,4493,0,4493,103548,200042,2152,2020-10-16
Umbria,75,15,1871,1961,2158,91,4210,198,1940,2270,4210,145535,246365,2961,2020-10-16
Calabria,51,4,849,904,1581,104,2589,102,1159,1430,2589,231287,233393,2758,2020-10-16
Valle d'Aosta,13,4,365,382,1132,146,1660,27,1499,161,1660,22334,32618,177,2020-10-16
Basilicata,36,0,547,583,548,38,1169,57,437,732,1169,85721,86551,1116,2020-10-16
Molise,8,0,257,265,573,26,864,21,819,45,864,49359,52400,538,2020-10-16
Lombardia,726,72,16252,17050,84624,17037,118711,2067,102862,15849,118711,1508334,2411663,32507,2020-10-15
Piemonte,595,40,6673,7308,29576,4190,41074,1033,25197,15877,41074,489887,828712,14142,2020-10-15
Emilia-Romagna,392,49,7080,7521,27124,4503,39148,453,33090,6058,39148,742503,1339233,12631,2020-10-15
Veneto,279,40,7289,7608,23728,2237,33573,600,22546,11027,33573,825788,2114126,19024,2020-10-15
Lazio,969,90,10546,11605,9395,1001,22001,594,9823,12178,22001,884989,1076138,15930,2020-10-15
Campania,762,66,12416,13244,8032,496,21772,1127,19740,2032,21772,487147,723005,13780,2020-10-15
Toscana,276,46,7584,7906,11171,1185,20262,581,15463,4799,20262,591385,878817,11146,2020-10-15
Liguria,316,26,2771,3113,11957,1626,16696,432,11472,5224,16696,192467,362962,5149,2020-10-15
Sicilia,468,52,4967,5487,4854,350,10691,399,6856,3835,10691,411784,575631,7444,2020-10-15
Puglia,319,26,4064,4409,5387,625,10421,257,2947,7474,10421,334382,473161,5346,2020-10-15
Marche,61,9,1594,1664,6362,992,9018,140,9018,0,9018,162176,276513,2674,2020-10-15
PA Trento,20,0,648,668,5521,415,6604,62,3905,2699,6604,106544,255435,1655,2020-10-15
Friuli Venezia Giulia,32,11,1604,1647,3923,358,5928,136,5472,456,5928,205301,465140,5027,2020-10-15
Abruzzo,159,10,1824,1993,3164,491,5648,203,4688,960,5648,148088,234275,3222,2020-10-15
Sardegna,180,28,2816,3024,2410,169,5603,186,2357,3246,5603,186956,221349,2688,2020-10-15
PA Bolzano,60,3,1130,1193,2879,293,4365,98,4365,0,4365,102467,197890,1743,2020-10-15
Umbria,74,12,1731,1817,2104,91,4012,263,1903,2109,4012,144075,243404,3690,2020-10-15
Calabria,51,3,805,859,1524,104,2487,39,1159,1328,2487,228529,230635,1957,2020-10-15
Valle d'Aosta,14,3,343,360,1127,146,1633,67,1472,161,1633,22227,32441,420,2020-10-15
Basilicata,36,0,503,539,536,37,1112,37,436,676,1112,84605,85435,986,2020-10-15
Molise,7,0,244,251,566,26,843,30,798,45,843,48828,51862,1771,2020-10-15
Lombardia,645,64,14509,15218,84415,17011,116644,1844,101508,15136,116644,1488016,2379156,29048,2020-10-14
Piemonte,562,33,5792,6387,29467,4187,40041,499,24827,15214,40041,482280,814570,5967,2020-10-14
Emilia-Romagna,383,35,6730,7148,27045,4502,38695,339,32848,5847,38695,736069,1326602,15607,2020-10-14
Veneto,271,35,6876,7182,23565,2226,32973,657,22436,10537,32973,818552,2095102,21095,2020-10-14
Lazio,937,85,10041,11063,9350,994,21407,543,9644,11763,21407,872710,1060208,15484,2020-10-14
Campania,735,61,11647,12443,7715,487,20645,818,18656,1989,20645,476051,709225,11396,2020-10-14
Toscana,229,46,7152,7427,11071,1183,19681,575,14954,4727,19681,583506,867671,11033,2020-10-14
Liguria,286,29,2760,3075,11566,1623,16264,362,11297,4967,16264,190129,357813,3981,2020-10-14
Sicilia,447,49,4691,5187,4762,343,10292,366,6582,3710,10292,407145,568187,7021,2020-10-14
Puglia,311,23,3895,4229,5317,618,10164,315,2877,7287,10164,330789,467815,5844,2020-10-14
Marche,64,8,1465,1537,6349,992,8878,166,8878,0,8878,160725,273839,3082,2020-10-14
PA Trento,20,0,638,658,5471,413,6542,29,3889,2653,6542,106152,253780,2567,2020-10-14
Friuli Venezia Giulia,28,11,1515,1554,3882,356,5792,182,5344,448,5792,203239,460113,6030,2020-10-14
Abruzzo,154,15,1632,1801,3156,489,5446,126,4555,891,5446,146193,231053,2529,2020-10-14
Sardegna,172,26,2728,2926,2323,168,5417,122,2275,3142,5417,184574,218661,2158,2020-10-14
PA Bolzano,54,3,1061,1118,2856,293,4267,124,4267,0,4267,101569,196147,1573,2020-10-14
Umbria,71,12,1540,1623,2035,91,3749,141,1863,1886,3749,142109,239714,3427,2020-10-14
Calabria,44,1,801,846,1498,104,2448,60,1159,1289,2448,226572,228678,2435,2020-10-14
Valle d'Aosta,13,3,279,295,1125,146,1566,37,1415,151,1566,21997,32021,258,2020-10-14
Basilicata,35,0,469,504,534,37,1075,9,435,640,1075,83619,84449,968,2020-10-14
Molise,9,0,215,224,563,26,813,18,770,43,813,47924,50091,693,2020-10-14
Lombardia,546,62,13648,14256,83550,16994,114800,1080,100262,14538,114800,1469625,2350108,17186,2020-10-13
Piemonte,483,30,5452,5965,29394,4183,39542,585,24702,14840,39542,480303,808603,9182,2020-10-13
Emilia-Romagna,323,31,6522,6876,26982,4498,38356,341,32669,5687,38356,728221,1310995,13344,2020-10-13
Veneto,272,33,6350,6655,23435,2226,32316,485,22334,9982,32316,810366,2074007,4052,2020-10-13
Lazio,896,83,9658,10637,9238,989,20864,579,9457,11407,20864,861669,1044724,15408,2020-10-13
Campania,694,62,11022,11778,7564,485,19827,635,17861,1966,19827,467964,697829,7720,2020-10-13
Toscana,218,44,6655,6917,11008,1181,19106,480,14546,4560,19106,576101,856638,8172,2020-10-13
Liguria,272,27,2624,2923,11357,1622,15902,447,11088,4814,15902,188093,353832,4766,2020-10-13
Sicilia,426,44,4407,4877,4708,341,9926,334,6366,3560,9926,402751,561166,8340,2020-10-13
Puglia,310,23,3665,3998,5235,616,9849,180,2800,7049,9849,327324,461971,5588,2020-10-13
Marche,60,6,1329,1395,6325,992,8712,82,8712,0,8712,158948,270757,1525,2020-10-13
PA Trento,20,0,665,685,5417,411,6513,28,3884,2629,6513,105581,251213,801,2020-10-13
Friuli Venezia Giulia,27,10,1367,1404,3850,356,5610,38,5165,445,5610,200782,454083,2747,2020-10-13
Abruzzo,146,15,1518,1679,3153,488,5320,146,4437,883,5320,144769,228524,2877,2020-10-13
Sardegna,164,26,2710,2900,2227,168,5295,157,2257,3038,5295,182625,216503,2466,2020-10-13
PA Bolzano,54,3,937,994,2856,293,4143,34,4143,0,4143,100855,194574,683,2020-10-13
Umbria,68,11,1412,1491,2027,90,3608,136,1855,1753,3608,140125,236287,3035,2020-10-13
Calabria,42,1,755,798,1486,104,2388,44,1159,1229,2388,224137,226243,2383,2020-10-13
Valle d'Aosta,11,3,244,258,1125,146,1529,33,1383,146,1529,21861,31763,271,2020-10-13
Basilicata,34,0,463,497,532,37,1066,8,434,632,1066,82651,83481,1201,2020-10-13
Molise,10,0,200,210,559,26,795,49,753,42,795,47568,49398,797,2020-10-13
Lombardia,463,50,12866,13379,83353,16988,113720,696,99501,14219,113720,1458192,2332922,13934,2020-10-12
Piemonte,457,22,4984,5463,29314,4180,38957,454,24579,14378,38957,476939,799421,6386,2020-10-12
Emilia-Romagna,284,25,6364,6673,26849,4496,38018,337,32487,5531,38018,723741,1297651,6660,2020-10-12
Veneto,244,29,6016,6289,23323,2219,31831,328,22250,9581,31831,808554,2069955,6348,2020-10-12
Lazio,927,78,9117,10122,9179,984,20285,395,9280,11005,20285,849390,1029316,13830,2020-10-12
Campania,685,64,10477,11226,7487,479,19192,662,17258,1934,19192,460813,690109,7405,2020-10-12
Toscana,205,40,6259,6504,10942,1180,18626,466,14189,4437,18626,570706,848466,8958,2020-10-12
Liguria,261,24,2456,2741,11093,1621,15455,186,10734,4721,15455,185406,349066,1570,2020-10-12
Puglia,307,19,3587,3913,5142,614,9669,157,2762,6907,9669,323084,456383,2433,2020-10-12
Sicilia,404,42,4236,4682,4571,339,9592,298,6133,3459,9592,397546,552826,3892,2020-10-12
Marche,50,5,1274,1329,6309,992,8630,37,8630,0,8630,158054,269232,837,2020-10-12
PA Trento,19,0,661,680,5396,409,6485,2,3869,2616,6485,105284,250412,125,2020-10-12
Friuli Venezia Giulia,22,5,1345,1372,3844,356,5572,59,5130,442,5572,199799,451336,1696,2020-10-12
Abruzzo,137,11,1384,1532,3154,488,5174,117,4336,838,5174,142974,225647,2227,2020-10-12
Sardegna,157,23,2679,2859,2113,166,5138,129,2220,2918,5138,180487,214037,1578,2020-10-12
PA Bolzano,42,2,929,973,2843,293,4109,45,4109,0,4109,100427,193891,1047,2020-10-12
Umbria,61,9,1300,1370,2012,90,3472,148,1844,1628,3472,138736,233252,4509,2020-10-12
Calabria,42,1,730,773,1467,104,2344,53,1159,1185,2344,221754,223860,1228,2020-10-12
Valle d'Aosta,9,3,213,225,1125,146,1496,32,1352,144,1496,21680,31492,219,2020-10-12
Basilicata,36,0,459,495,528,35,1058,11,434,624,1058,81450,82280,130,2020-10-12
Molise,9,0,155,164,556,26,746,7,704,42,746,47043,48601,430,2020-10-12
Lombardia,433,48,12368,12849,83190,16985,113024,1032,99044,13980,113024,1448672,2318988,15590,2020-10-11
Piemonte,378,24,4654,5056,29270,4177,38503,409,24480,14023,38503,472398,793035,6480,2020-10-11
Emilia-Romagna,254,23,6072,6349,26837,4495,37681,384,32282,5399,37681,719690,1290991,8660,2020-10-11
Veneto,238,24,5826,6088,23197,2218,31503,438,22196,9307,31503,806051,2063607,11140,2020-10-11
Lazio,911,69,8862,9842,9072,976,19890,371,9236,10654,19890,836669,1015486,12733,2020-10-11
Campania,664,61,9969,10694,7357,479,18530,633,16669,1861,18530,454679,682704,9232,2020-10-11
Toscana,186,31,5925,6142,10844,1174,18160,517,13854,4306,18160,564468,839508,11394,2020-10-11
Liguria,238,26,2334,2598,11052,1619,15269,386,10599,4670,15269,184673,347496,3334,2020-10-11
Puglia,301,21,3485,3807,5097,608,9512,212,2715,6797,9512,321156,453950,3887,2020-10-11
Sicilia,388,38,3975,4401,4557,336,9294,297,5953,3341,9294,395172,548934,4509,2020-10-11
Marche,44,6,1253,1303,6298,992,8593,108,8593,0,8593,157585,268395,2385,2020-10-11
PA Trento,19,0,662,681,5394,408,6483,39,3869,2614,6483,105220,250287,1847,2020-10-11
Friuli Venezia Giulia,22,5,1296,1323,3834,356,5513,97,5071,442,5513,198763,449640,1694,2020-10-11
Abruzzo,116,8,1293,1417,3153,487,5057,77,4245,812,5057,141605,223420,2278,2020-10-11
Sardegna,140,22,2610,2772,2072,165,5009,143,2196,2813,5009,179167,212459,1752,2020-10-11
PA Bolzano,35,1,904,940,2831,293,4064,84,4064,0,4064,99917,192844,1599,2020-10-11
Umbria,58,9,1169,1236,2000,88,3324,135,1834,1490,3324,136523,228743,2779,2020-10-11
Calabria,41,1,688,730,1458,103,2291,35,1159,1132,2291,220526,222632,1696,2020-10-11
Valle d'Aosta,8,3,186,197,1121,146,1464,18,1320,144,1464,21530,31273,240,2020-10-11
Basilicata,36,0,449,485,527,35,1047,13,434,613,1047,81320,82150,957,2020-10-11
Molise,9,0,156,165,548,26,739,28,697,42,739,46626,48171,472,2020-10-11
Lombardia,408,44,11570,12022,82988,16982,111992,1140,98339,13653,111992,1438722,2303398,22910,2020-10-10
Piemonte,354,22,4365,4741,29179,4174,38094,499,24363,13731,38094,467397,786555,8588,2020-10-10
Emilia-Romagna,241,16,5719,5976,26827,4494,37297,383,32069,5228,37297,715054,1282331,13779,2020-10-10
Veneto,231,20,5581,5832,23017,2216,31065,561,22136,8929,31065,801647,2052467,14996,2020-10-10
Lazio,884,57,8564,9505,9042,972,19519,384,9070,10449,19519,826222,1002753,14358,2020-10-10
Campania,635,63,9493,10191,7229,477,17897,664,16060,1837,17897,446216,673472,9031,2020-10-10
Toscana,160,30,5450,5640,10830,1173,17643,548,13504,4139,17643,556336,828114,11237,2020-10-10
Liguria,222,26,2198,2446,10820,1617,14883,213,10284,4599,14883,183026,344162,4033,2020-10-10
Puglia,300,22,3389,3711,4982,607,9300,184,2655,6645,9300,319289,450063,5189,2020-10-10
Sicilia,387,35,3721,4143,4519,335,8997,285,5782,3215,8997,392395,544425,7741,2020-10-10
Marche,41,3,1159,1203,6290,992,8485,86,8485,0,8485,156147,266010,2398,2020-10-10
PA Trento,19,0,668,687,5349,408,6444,50,3861,2583,6444,104720,248440,2331,2020-10-10
Friuli Venezia Giulia,23,6,1215,1244,3817,355,5416,126,4976,440,5416,197963,447946,4269,2020-10-10
Abruzzo,110,7,1224,1341,3152,487,4980,94,4194,786,4980,140150,221142,2388,2020-10-10
Sardegna,140,25,2506,2671,2034,161,4866,124,2172,2694,4866,177776,210707,1619,2020-10-10
PA Bolzano,35,2,836,873,2815,292,3980,92,3980,0,3980,99125,191245,1880,2020-10-10
Umbria,56,8,1046,1110,1991,88,3189,132,1824,1365,3189,134818,225964,2173,2020-10-10
Calabria,41,1,654,696,1457,103,2256,68,1159,1097,2256,218830,220936,2545,2020-10-10
Valle d'Aosta,6,3,171,180,1120,146,1446,44,1304,142,1446,21356,31033,229,2020-10-10
Basilicata,36,0,439,475,524,35,1034,37,434,600,1034,80358,81193,861,2020-10-10
Molise,7,0,135,142,543,26,711,10,669,42,711,46155,47699,529,2020-10-10
Lombardia,371,44,10713,11128,82744,16980,110852,983,97697,13155,110852,1424471,2280488,25623,2020-10-09
Piemonte,345,22,3943,4310,29113,4172,37595,401,24243,13352,37595,462323,777967,6811,2020-10-09
Emilia-Romagna,226,14,5369,5609,26812,4493,36914,276,31848,5066,36914,709568,1268552,10747,2020-10-09
Veneto,208,21,5245,5474,22821,2209,30504,595,21936,8568,30504,796159,2037471,14325,2020-10-09
Lazio,853,57,8276,9186,8983,966,19135,387,8987,10148,19135,815474,988395,14439,2020-10-09
Campania,576,63,8958,9597,7161,475,17233,769,15420,1813,17233,437971,664441,9549,2020-10-09
Toscana,140,30,4951,5121,10801,1173,17095,483,13074,4021,17095,548458,816877,10781,2020-10-09
Liguria,199,26,2050,2275,10780,1615,14670,196,10165,4505,14670,181069,340129,3457,2020-10-09
Puglia,300,23,3227,3550,4960,606,9116,249,2603,6513,9116,315837,444874,4596,2020-10-09
Sicilia,376,35,3490,3901,4478,333,8712,233,5583,3129,8712,387714,536684,7151,2020-10-09
Marche,37,3,1105,1145,6262,992,8399,49,8399,0,8399,154836,263612,2295,2020-10-09
PA Trento,20,0,661,681,5307,406,6394,39,3843,2551,6394,104126,246109,2001,2020-10-09
Friuli Venezia Giulia,23,6,1112,1141,3794,355,5290,146,4853,437,5290,195965,443677,4307,2020-10-09
Abruzzo,100,7,1142,1249,3150,487,4886,103,4131,755,4886,138835,218754,2787,2020-10-09
Sardegna,133,23,2413,2569,2012,161,4742,134,2144,2598,4742,176462,209088,2555,2020-10-09
PA Bolzano,35,2,760,797,2799,292,3888,85,3888,0,3888,98176,189365,1530,2020-10-09
Umbria,55,8,937,1000,1970,87,3057,151,1810,1247,3057,133522,223791,2645,2020-10-09
Calabria,42,1,595,638,1447,103,2188,42,1159,1029,2188,216285,218391,2157,2020-10-09
Valle d'Aosta,4,2,133,139,1117,146,1402,18,1262,140,1402,21200,30804,160,2020-10-09
Basilicata,35,0,413,448,514,35,997,22,433,564,997,79502,80332,926,2020-10-09
